X,Y,FID,ICOUNT,Año,Cód_Comuna,Comuna,Cód_Región,Región,Calle_Uno,Calle_Dos,Número,Dirección,Fallecidos,Graves,Menos_Grav,Leves,Accidentes
-70.714761183182,-33.6219574524744,1,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,PRESIDENTE JORGE ALESSANDRI RODRIGUEZ, ,12489,PRESIDENTE JORGE ALESSANDRI RODRIGUEZ 12489,1,0,0,0,1
-70.7134327307359,-33.629205941401,2,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,PRESIDENTE JORGE ALESSANDRI RODRIGUEZ, ,20040,PRESIDENTE JORGE ALESSANDRI RODRIGUEZ 20040,0,0,0,1,1
-70.7121127103333,-33.6013390844312,3,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,CALLE 1 DE MAYO,EYZAGUIRRE,0,CALLE 1 DE MAYO / EYZAGUIRRE,0,0,0,1,1
-70.7105705546873,-33.6018293597371,4,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,CALLE 1 DE MAYO,FIDEL PINOCHET,0,CALLE 1 DE MAYO / FIDEL PINOCHET,1,0,0,0,1
-70.7072593003764,-33.6365474004421,5,1,2013,13101,SANTIAGO,13,REGION METROPOLITANA,PORTALES, ,3000,PORTALES 3000,0,1,0,0,1
-70.7060520630523,-33.6075811402574,6,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,EUCALIPTUS,BULNES,0,EUCALIPTUS / BULNES,0,0,0,1,1
-70.7036591154758,-33.6136480666049,7,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,MATEO DE TORO Y ZAMBRANO,LAS AGATAS,0,MATEO DE TORO Y ZAMBRANO / LAS AGATAS,0,0,0,1,1
-70.6991576219266,-33.6185610845264,8,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,DIEGO PORTALES,CENTRAL,0,DIEGO PORTALES / CENTRAL,0,0,0,1,1
-70.6971066082833,-33.600391540737,9,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,BAQUEDANO, ,820,BAQUEDANO 820,0,0,0,1,1
-70.6946708232998,-33.6191913501007,10,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,CENTRAL,LOS ALERCES,0,CENTRAL / LOS ALERCES,0,0,0,1,1
-70.6859104894775,-33.6030308863662,11,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,DUCAUD, ,15575,DUCAUD 15575,0,0,1,0,1
-70.682572746535,-33.6048728202244,12,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,SAN JOSE,PADRE HURTADO,0,SAN JOSE / PADRE HURTADO,0,0,0,1,1
-70.6822118000345,-33.6169429001947,13,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,PADRE HURTADO, ,13560,PADRE HURTADO 13560,0,1,0,0,1
-70.7143327893267,-33.5973144420079,14,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,SAN ALFONSO, ,1000,SAN ALFONSO 1000,0,0,0,1,1
-70.7120197833863,-33.5977963284378,15,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,AMERICA,SAN ALFONSO,0,AMERICA / SAN ALFONSO,0,0,1,0,1
-70.7114171422872,-33.5880920257264,16,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,COLON, ,160,COLON 160,0,0,0,1,1
-70.7113186341476,-33.5979264765256,17,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,SAN ALFONSO,MAHUIDA,0,SAN ALFONSO / MAHUIDA,0,1,0,0,1
