X,Y,FID,OBJECTID,ICOUNT,Region,Comuna,Match_Addr,Calle1,Calle2,Numero,Fallecidos,Graves,Mgrave,Leve,Ileso
-70.7977273384356,-33.4560090578998,1,1,1,REGION METROPOLITANA,PUDAHUEL,"400 CAMINO LA FARFANA, PUDAHUEL",CAMINO LA FARFANA, ,400,0,1,0,0,1
-70.7969590700083,-33.5163732665974,2,2,1,REGION METROPOLITANA,MAIPU,"1660 EL CONQUISTADOR, MAIPU",EL CONQUISTADOR, ,1660,0,0,1,0,1
-70.7950443699748,-33.5161917087568,3,3,1,REGION METROPOLITANA,MAIPU,"2839 LAS TINAJAS, MAIPU",LAS TINAJAS, ,2838,0,0,1,0,1
-70.7944880330441,-33.5141241564904,4,4,1,REGION METROPOLITANA,MAIPU,"1791 LA GALAXIA, MAIPU",LA GALAXIA, ,1791,0,0,1,0,1
-70.7933034393456,-33.5321149949942,5,5,1,REGION METROPOLITANA,MAIPU,"4 PONIENTE & ALFREDO SILVA CARVALLO, MAIPU",4 PONIENTE,ALFREDO SILVA CARVALLO,0,0,0,0,1,1
-70.7913888444141,-33.5055046536469,6,6,1,REGION METROPOLITANA,MAIPU,"4 PONIENTE & CAMINO A RINCONADA, MAIPU",4 PONIENTE,CAMINO A RINCONADA,0,0,0,1,0,1
-70.7907151579884,-33.5123441974235,7,7,1,REGION METROPOLITANA,MAIPU,"4 PONIENTE & INCA DE ORO, MAIPU",4 PONIENTE,INCA DE ORO,0,0,0,1,0,1
-70.7881303987496,-33.5371790222324,8,8,1,REGION METROPOLITANA,MAIPU,"4 PONIENTE & PRESIDENTE GABRIEL GONZALEZ VIDELA, MAIPU",4 PONIENTE,PDTE GABRIEL GONZALEZ VIDELA,0,0,0,0,1,1
-70.7869530306543,-33.5247252378391,9,9,1,REGION METROPOLITANA,MAIPU,"NUEVA SAN MARTIN & LAS NACIONES, MAIPU",NVA SAN MARTIN,LAS NACIONES,0,0,0,1,0,1
-70.7826140319749,-33.3657509866654,10,10,1,REGION METROPOLITANA,QUILICURA,"ASENTAMIENTO COLO COLO & CAMINO LO ECHEVERS, PUDAHUEL",LO ECHEVERS, ,1001,0,1,0,0,1
-70.7853811861842,-33.518402447677,11,11,1,REGION METROPOLITANA,MAIPU,"PORTALES & RADON, MAIPU",PORTALES,RADON,0,0,0,0,1,1
