X,Y,FID,Ubicacion,Fallecidos,Graves,MenosGrave,Leve,Accidentes
-70.7985084015608,-33.3644349173973,1,"CAMINO RENCA LAMPA & CAMINO AGUAS CLARAS, PUDAHUEL",0,1,0,0,1
-70.7971417459006,-33.3549406297706,2,"CAMINO LO ECHEVERS & CAMINO PRIVADO, QUILICURA",0,1,0,0,1
-70.7979441451925,-33.511715797607,3,"EL CONQUISTADOR & SENADORA MARIA DE LA CRUZ, MAIPU",0,1,0,1,1
-70.7971987324896,-33.5131514434166,4,"EL CONQUISTADOR & PINTOR HORACIO GARCIA, MAIPU",0,1,0,0,1
-70.7970207635969,-33.5186008279716,5,"1370 EL CONQUISTADOR, MAIPU",0,1,0,0,1
-70.7950216987123,-33.5536642129458,6,"18486 CAMINO A MELIPILLA, MAIPU",0,0,1,0,1
-70.7936108534216,-33.5260449281579,7,"2621 GERMAN GARCES, MAIPU",0,0,0,2,1
-70.7924026408289,-33.5087120017502,8,"JOSE MANUEL BORGONO & ESCUELA DE INFANTERIA, MAIPU",0,0,0,1,1
-70.7918954413516,-33.5248343155845,9,"NUEVA SAN MARTIN & 4 PONIENTE, MAIPU",0,1,0,0,1
-70.7913892729567,-33.5055072707583,10,"CAMINO A RINCONADA & 4 PONIENTE, MAIPU",0,0,0,1,1
-70.7914372558155,-33.5203680739496,11,"CAMPANARIO & 4 PONIENTE, MAIPU",0,0,0,1,1
-70.7912946955397,-33.5191978105803,12,"PORTALES & 4 PONIENTE, MAIPU",0,0,0,1,1
-70.790712014406,-33.5123436188392,13,"INCA DE ORO & 4 PONIENTE, MAIPU",0,0,0,1,1
-70.7903413788778,-33.5079392221249,14,"VICARIA & 4 PONIENTE, MAIPU",0,0,0,1,1
-70.7880023730066,-33.5423131342239,15,"2842 RENE OLIVARES BECERRA, MAIPU",0,1,0,0,1
-70.7866283238676,-33.511645094975,16,"2025 PANGAL, MAIPU",0,0,0,1,1
-70.7841838973367,-33.5068918206085,17,"CAMINO A RINCONADA & LAS NACIONES, MAIPU",1,0,0,0,1
-70.783791858426,-33.5098192734622,18,"DE LA GLORIETA & JOSE MANUEL BORGONO, MAIPU",0,0,0,1,1
-70.782385125538,-33.5330786679026,19,"1969 PRESIDENTE GABRIEL GONZALEZ VIDELA, MAIPU",0,0,1,0,1
-70.7814998571366,-33.5324421213224,20,"1974 OSCAR BONILLA, MAIPU",0,1,0,0,1
-70.7790860705229,-33.4439565824224,21,"SAN PABLO & AMERICO VESPUCIO, PUDAHUEL",0,1,0,3,4
-70.7792771763854,-33.5085675987,22,"CAMINO A RINCONADA & 3 PONIENTE, MAIPU",0,1,0,0,1
-70.7791154144416,-33.5132862973851,23,"LOS ZARZALES & 3 PONIENTE, MAIPU",0,0,0,1,1
-70.7791955926227,-33.532971240801,24,"ELADIO ROJAS & ALFREDO SILVA CARVALLO, MAIPU",0,0,0,0,1
-70.778535787979,-33.5259918469819,25,"GERMAN GARCES & 3 PONIENTE, MAIPU",0,0,0,1,1
-70.778003528648,-33.5089285710338,26,"CAMINO A RINCONADA & 3 PONIENTE, MAIPU",0,2,1,2,3
-70.7782233568576,-33.5422826550815,27,"CALETERA CAMINO A MELIPILLA & EGIPTO, MAIPU",1,1,0,0,2
-70.7756778080454,-33.5067976327142,28,"EL OLIMPO & MAIPU, MAIPU",0,0,0,1,1
-70.7755787923529,-33.5088010340593,29,"EL OLIMPO & MEDIALUNA, MAIPU",0,0,0,1,1
-70.7754690629253,-33.5129147842626,30,"EL OLIMPO & GRECIA, MAIPU",0,1,1,2,3
-70.7754423544198,-33.5152959001723,31,"LAS TINAJAS & EL OLIMPO, MAIPU",0,0,0,1,1
-70.775392201208,-33.51811021171,32,"PORTALES & EL OLIMPO, MAIPU",0,0,0,1,1
-70.7753324977141,-33.5215108237805,33,"EL OLIMPO & SUR, MAIPU",0,0,1,0,1
-70.7748264017702,-33.5315189440768,34,"ALFREDO SILVA CARVALLO & 3 PONIENTE, MAIPU",0,0,1,1,1
-70.7744545351606,-33.539667439432,35,"CAMINO A MELIPILLA & JACQUES COUSTEAU, MAIPU",0,0,0,1,1
-70.7738353313516,-33.5325521707647,36,"RENE OLIVARES BECERRA & 3 PONIENTE, MAIPU",1,0,0,0,1
-70.7705467227327,-33.4308042839522,37,"EL TRANQUE & SANTA MARTA, PUDAHUEL",0,0,0,1,1
-70.7689538257044,-33.4429382500189,38,"SAN PABLO & SERRANO, PUDAHUEL",0,1,0,0,1
-70.7704485580601,-33.5248813097406,39,"DEL REY & NUEVA SAN MARTIN, MAIPU",0,0,0,1,1
-70.7683249629493,-33.4400434136279,40,"SERRANO & MARTINEZ DE ROZAS, PUDAHUEL",0,0,1,0,1
-70.7698596053977,-33.5361350720201,41,"CAMINO A MELIPILLA & 3 PONIENTE, MAIPU",1,1,0,1,1
-70.7678147956597,-33.4371649157559,42,"9408 CARDENAL JOSE MARIA CARO, PUDAHUEL",0,0,1,1,1
-70.7684679611347,-33.4857536612734,43,"LAS CAMELIAS & EL ROSAL, MAIPU",0,0,1,1,2
-70.7687367966477,-33.4995022266726,44,"BLANCO ENCALADA & DE LA VICTORIA, MAIPU",0,0,0,1,1
-70.7687484100145,-33.502189412437,45,"O`HIGGINS & DE LA VICTORIA, MAIPU",0,0,0,3,2
-70.7687622911127,-33.5055168393813,46,"DE LA VICTORIA & LIBERTAD, MAIPU",0,0,0,1,1
-70.7687622940381,-33.5071039987394,47,"DE LA VICTORIA & MAIPU, MAIPU",0,1,0,0,1
-70.7678437962295,-33.4899920004167,48,"LA SINFONIA & LA REFORMA, MAIPU",0,0,1,1,2
-70.7664711720227,-33.4329636195363,49,"SERRANO & SAN FRANCISCO, PUDAHUEL",0,0,0,0,1
-70.7662968773652,-33.4455913645241,50,"ESPARTA & FIDIAS, PUDAHUEL",0,0,1,0,1
-70.7670601371337,-33.4916805240425,51,"CAMINO LA FARFANA & INGENIERO EDUARDO DOMINGUEZ, MAIPU",0,0,0,1,1
-70.7651545500413,-33.4194642928835,52,"SIN CLASIFICACION & SIN CLASIFICACION, CERRO NAVIA",0,0,2,0,1
-70.7657973341943,-33.4538499798462,53,"SERRANO & LA TRAVESIA, PUDAHUEL",0,0,0,1,1
-70.7668319895251,-33.5095844333203,54,"773 CAMINO A RINCONADA, MAIPU",0,0,0,1,1
-70.7670756535313,-33.5268593274314,55,"176 LOS DIAMANTES, MAIPU",0,0,0,1,1
-70.7668519411268,-33.5158606393331,56,"HUASCAR & SAN JOSE, MAIPU",0,0,0,1,1
-70.7649712558515,-33.4422825880771,57,"9176 SAN PABLO, PUDAHUEL",1,0,0,0,1
-70.7657058245118,-33.5097898709701,58,"CAMINO A RINCONADA & GENERAL LAS HERAS, MAIPU",0,0,0,2,1
-70.7646299779274,-33.4588896441967,59,"LAGUNA SUR & AMERICO VESPUCIO, PUDAHUEL",0,1,0,2,1
-70.7641171499488,-33.4420692937047,60,"FEDERICO ERRAZURIZ & SAN PABLO, PUDAHUEL",0,0,0,1,1
-70.7636974438446,-33.4441854876631,61,"FEDERICO ERRAZURIZ & AURORA, PUDAHUEL",0,0,0,1,1
-70.7647446690933,-33.5091091877836,62,"SAN MARTIN & CHACABUCO, MAIPU",0,0,0,2,1
-70.7650022926149,-33.5281514102783,63,"ALFREDO SILVA CARVALLO & ELISEO, MAIPU",0,0,0,1,1
-70.7633072223231,-33.4451018610101,64,"FEDERICO ERRAZURIZ & LUCERO, PUDAHUEL",0,0,0,1,1
-70.7630768560922,-33.4353115360681,65,"FEDERICO ERRAZURIZ & SAN AGUSTIN, PUDAHUEL",0,0,0,1,1
-70.7642699703813,-33.496328477241,66,"GENERAL BUERAS & GENERAL JOSE SAN MARTIN, MAIPU",0,0,0,1,1
-70.7653128547352,-33.5497809599956,67,"1361 4 PONIENTE, MAIPU",0,0,0,1,1
-70.7641885866356,-33.4986833268753,68,"SAN MARTIN & ARGENTINA, MAIPU",0,0,0,1,1
-70.7629984654402,-33.4457916235795,69,"FEDERICO ERRAZURIZ & CREPUSCULO, PUDAHUEL",0,0,0,0,1
-70.7640990337216,-33.5016966036306,70,"SAN MARTIN & LIBERTADOR BERNARDO O`HIGGINS, MAIPU",0,0,0,2,1
