X,Y,FID,ICOUNT,Comuna,Año,Clase_Acci,Cód_Comun,Cód_Regi,Región,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Intersecci,Direcci_1,Fallecidos,Graves,Menos_Grav,Leves
-70.9218647000957,-33.0887728998493,1,1,TILTIL,2016,1,13303,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,133030058,EL ESPINO, , ,39,- EL ESPINO,39 EL ESPINO,0,0,0,1
-70.9189879001713,-33.0891214995574,2,1,TILTIL,2016,1,13303,13,REGION METROPOLITANA,URBANA,5,PUENTE,133030019,BARROS ARANA, , ,10,- BARROS ARANA,10 BARROS ARANA,0,0,0,2
-70.8817070002777,-33.2788676998843,3,1,LAMPA,2016,1,13302,13,REGION METROPOLITANA,URBANA,14,CRUCE CON SEÑAL PARE,133020027,BAQUEDANO, , ,65,- BAQUEDANO,65 BAQUEDANO,0,0,1,0
-70.8730555473755,-33.2857802569532,4,1,LAMPA,2016,1,13302,13,REGION METROPOLITANA,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,133020209,PEDRO AGUIRRE CERDA,133020235,SGTO ALDEA, ,PEDRO AGUIRRE CERDA - SGTO ALDEA,PEDRO AGUIRRE CERDA @ SGTO ALDEA,0,0,0,1
-70.8704577000627,-33.2828189998968,5,1,LAMPA,2016,1,13302,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,133020210,PEDRO AGUIRRE CERDA, , ,1370,- PEDRO AGUIRRE CERDA,1370 PEDRO AGUIRRE CERDA,0,0,0,1
-70.8690865001417,-33.3843018999126,6,1,PUDAHUEL,2016,1,13124,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131240151,CAMINO LUIS CRUZ MARTINEZ, , ,800,- CAMINO LUIS CRUZ MARTINEZ,800 CAMINO LUIS CRUZ MARTINEZ,0,0,0,1
-70.8561928228403,-33.4030524345221,7,1,PUDAHUEL,2016,1,13124,13,REGION METROPOLITANA,URBANA,14,CRUCE CON SEÑAL PARE,131240138,CAMINO BERNARDO O`HIGGINS,131241255,SIMON BOLIVAR, ,CAMINO BERNARDO O`HIGGINS - SIMON BOLIVAR,CAMINO BERNARDO O`HIGGINS @ SIMON BOLIVAR,0,0,0,2
-70.818879499689,-33.4272926997981,8,1,PUDAHUEL,2016,1,13124,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131240947,NVA 1, , ,17580,- NVA 1,17580 NVA 1,0,0,0,1
-70.8159399999309,-33.2243206000155,9,1,LAMPA,2016,1,13302,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,133020121,ITALIA, , ,1,- ITALIA,1 ITALIA,0,0,1,0
-70.8111128996405,-33.5660320003764,10,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131190392,CAMINO A MELIPILLA, , ,1500,- CAMINO A MELIPILLA,1500 CAMINO A MELIPILLA,0,1,0,0
-70.8099296094638,-33.2265947777266,11,1,LAMPA,2016,1,13302,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,133020055,CHILE,133020252,URIBE, ,CHILE - URIBE,CHILE @ URIBE,0,0,0,1
