X,Y,FID,Intersecci,Comuna,Ciudad,Pais,Año,Clase,Cód_Comun,Región,Cód_Tipo,Tipo_Accid,Cód_Tip_1,Tipo__CONA,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Cód_Cal_1,Calle_Uno,Calle_Dos,Número,PiSANTAsde,PiSANTAs_1,Cód_Calza,Calzada,Tipo_Calza,Fallecidos,Graves,Menos_Grav,Leves,Accidentes
-70.636250587401,-33.460150500166,1,SIERRA BELLA @ SANTA ELVIRA,SANTIAGO, , ,2017,1,13101,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131010609,131010618,SIERRA BELLA,SANTA ELVIRA, ,2, ,1,UNIDIRECCIONAL,CONCRETO,0,0,1,0,1
-70.636248377697,-33.4698982877146,2,CARMEN @ GENERAL GANA,SANTIAGO, , ,2017,1,13101,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,4,ACERA O BERMA,131010106,131010263,CARMEN,GENERAL GANA, ,2, ,1,UNIDIRECCIONAL,ASFALTO,0,0,0,0,1
-70.6361712,-33.5238027,3,6705 SANTA ROSA,SAN RAMON, , ,2017,1,13131,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131310349,0,SANTA ROSA, ,6705,2, ,1,UNIDIRECCIONAL,CONCRETO,0,1,0,0,1
-70.6360962,-33.3724432,4,5696 RECOLETA,HUECHURABA, , ,2017,1,13107,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131070365,0,RECOLETA, ,5696,2,2,2,BIDIRECCIONAL,ASFALTO,0,0,0,1,1
-70.6359600234219,-33.4461159429498,5,PORTUGAL @ MARIN,SANTIAGO, , ,2017,1,13101,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,26,OTROS NO CONSIDERADOS,131010494,131010398,PORTUGAL,MARIN, ,3, ,1,UNIDIRECCIONAL,ASFALTO,0,0,0,2,1
-70.6356683503624,-33.4337142382756,6,5 PIO NONO,PROVIDENCIA, , ,2017,1,13123,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131230429,0,PIO NONO, ,5,2, ,1,UNIDIRECCIONAL,ASFALTO,0,0,0,1,1
-70.6355386281117,-33.4348193043131,7,PIO NONO @ BELLAVISTA,RECOLETA, , ,2017,1,13127,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131270682,131270094,PIO NONO,BELLAVISTA, ,2, ,1,UNIDIRECCIONAL,ASFALTO,0,1,0,0,1
-70.6353861,-33.4359736,8,PIO NONO / STA MARIA,PROVIDENCIA,SANTIAGO,CHILE,2017,1,13123,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131230489,131230429,SANTA MARIA,PIO, ,3, ,1,UNIDIRECCIONAL,CONCRETO,0,2,0,0,1
-70.6353411421524,-33.5070382766645,9,DIEGO DE MEZA @ DEPARTAMENTAL,SAN JOAQUIN, , ,2017,1,13129,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131290162,131290160,DIEGO DE MEZA,DEPARTAMENTAL, ,2,2,3,BIDIRECCIONAL CON BANDEJON,CONCRETO,0,0,0,1,1
-70.6353173921973,-33.4368135342951,10,VICUNA MACKENNA @ PROVIDENCIA,PROVIDENCIA, , ,2017,1,13123,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131230516,131230437,VICUNA MACKENNA,PROVIDENCIA, ,2,2,2,BIDIRECCIONAL,ASFALTO,0,0,0,1,1
