X,Y,FID,Ano,Cod_Comuna,Comuna,Cod_Region,Region,Cod_TipoAc,TipoAccide,Cod_Zona,Zona,CalleUno,CalleDos,Numero,PistasdeId,PistasdeRe,Fallecidos,Graves,Menos_Grav,Leves,lat,lng,Atropellos
-70.6495901,-33.4429617,1,2018,13101,SANTIAGO,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LIBER BERNARDO O`HIGGINS, ,937,4,4,0,0,0,1,-33.4429617,-70.6495901,1
-70.649559,-33.563549,2,2018,13112,LA PINTANA,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,OBSERVATORIO, ,1753,2,2,0,0,0,1,-33.563549,-70.649559,1
-70.649437,-33.474522,3,2018,13101,SANTIAGO,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,NATANIEL COX,BIO BIO,0,2,0,0,0,1,0,-33.474522,-70.649437,1
-70.649376,-33.50877,4,2018,13130,SAN MIGUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,VARGAS BUSTON,MIGUEL LUIS CERDA,0,2,2,0,0,0,1,-33.50877,-70.649376,1
-70.6492397,-33.5349691,5,2018,13131,SAN RAMON,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,BRASIL, ,1231,1,1,0,0,1,0,-33.5349691,-70.6492397,1
-70.6490467,-33.4434242,6,2018,13101,SANTIAGO,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LIBER BERNARDO O`HIGGINS,ESTADO,0,4,4,0,1,0,0,-33.4434242,-70.6490467,1
-70.648857,-33.447037,7,2018,13101,SANTIAGO,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,SERRANO,TARAPACA,0,2,0,0,0,0,1,-33.447037,-70.648857,1
-70.648811,-33.531578,8,2018,13109,LA CISTERNA,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LA GRANJA, ,8083,1,1,0,0,0,1,-33.531578,-70.648811,1
-70.648804,-33.466141,9,2018,13101,SANTIAGO,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,SAN DIEGO,PEDRO LAGOS,0,2,0,0,0,0,1,-33.466141,-70.648804,1
-70.648796,-33.451462,10,2018,13101,SANTIAGO,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,ARTURO PRAT,STA ISABEL,0,2,0,0,0,0,1,-33.451462,-70.648796,1
