X,Y,FID,Ano,Codregion,Region,Comuna,Zona,Calle1,Calle2,Numero,lat,lng,Claseaccid,Cód_Comun,Cód_Tipo_,Tipo_Accid,Cód_Tipo1,Tipo__CONA,Cód_Zona,Zona_1,Cód_Ubica,Ubicación,Cód_Calle,Intersecci,Pistas_de_,Pistas_de1,Cód_Calza,Calzada,Cód__Tipo,Tipo_Calza,Fallecidos,Graves,Menos_Grav,Leves,Atropellos
-70.539093,-33.463249,1,2019,13,REGION METROPOLITANA,PEÃ‘ALOLEN,URBANA,JOSE ARRIETA,CONSISTORIAL,NULL,-33.463249,-70.539093,1,13122,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131220527,CONSISTORIAL - JOSE ARRIETA,2,2,2,BIDIRECCIONAL,1,CONCRETO,0,0,0,1,1
-70.53907,-33.472145,2,2019,13,REGION METROPOLITANA,PEÃ‘ALOLEN,URBANA,LAS PARCELAS,CALLE 20,NULL,-33.472145,-70.53907,1,13122,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131220664,CALLE 20 - LAS PARCELAS,1,2,2,BIDIRECCIONAL,1,CONCRETO,0,0,0,1,1
-70.539024,-33.458626,3,2019,13,REGION METROPOLITANA,LA REINA,URBANA,TALINAY,NULL,9010,-33.458626,-70.539024,1,13113,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131130457,- TALINAY,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,1,0,0,1
-70.538033,-33.439056,4,2019,13,REGION METROPOLITANA,LA REINA,URBANA,CARLOS SILVA VILDOSOLA,NULL,8950,-33.439056,-70.538033,1,13113,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131130077,- CARLOS SILVA VILDOSOLA,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,1,0,0,1
-70.53727,-33.407654,5,2019,13,REGION METROPOLITANA,LAS CONDES,URBANA,GRAL BLANCHE,PAUL HARRIS,NULL,-33.407654,-70.53727,1,13114,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131140492,GRAL BLANCHE - PAUL HARRIS,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.53698,-33.412334,6,2019,13,REGION METROPOLITANA,LAS CONDES,URBANA,RIO GUADIANA,NULL,9141,-33.412334,-70.53698,1,13114,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131141059,- RIO GUADIANA,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,2,1
-70.536568,-33.423752,7,2019,13,REGION METROPOLITANA,LAS CONDES,URBANA,ALEJANDRO FLEMING,LAS TRES MARIAS,NULL,-33.423752,-70.536568,1,13114,10,ATROPELLO,10,ATROPELLO,1,URBANA,16,CRUCE SIN SEÑALIZACION,131140015,ALEJANDRO FLEMING - LAS TRES MARIAS,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,1,0,1,1
-70.536552,-33.43774,8,2019,13,REGION METROPOLITANA,LA REINA,URBANA,PADRE HURTADO SUR,23 DE FEBRERO,NULL,-33.43774,-70.536552,1,13113,10,ATROPELLO,10,ATROPELLO,1,URBANA,26,OTROS NO CONSIDERADOS,131130350,23 DE FEBRERO - PADRE HURTADO SUR,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,1,0,0,1
-70.536476,-33.381386,9,2019,13,REGION METROPOLITANA,VITACURA,URBANA,TABANCURA,LAS HUALTATAS,NULL,-33.381386,-70.536476,1,13132,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131320558,LAS HUALTATAS - TABANCURA,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,1,0,0,1
-70.536316,-33.444614,10,2019,13,REGION METROPOLITANA,LA REINA,URBANA,VALENZUELA LLANOS,NULL,623,-33.444614,-70.536316,1,13113,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131130469,- VALENZUELA LLANOS,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,0,0,1,1
-70.534813,-33.414154,11,2019,13,REGION METROPOLITANA,LAS CONDES,URBANA,PAUL HARRIS SUR,NULL,901,-33.414154,-70.534813,1,13114,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131140939,- PAUL HARRIS SUR,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.534691,-33.451984,12,2019,13,REGION METROPOLITANA,LA REINA,URBANA,LARRAIN,CORDILLERA,NULL,-33.451984,-70.534691,1,13113,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131130234,CORDILLERA - LARRAIN,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,0,1,0,0,1
-70.534531,-33.477413,13,2019,13,REGION METROPOLITANA,PEÃ‘ALOLEN,URBANA,RIO CLARO,GRECIA,NULL,-33.477413,-70.534531,1,13122,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131221230,GRECIA - RIO CLARO,2,2,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,1,1,1,2
-70.534508,-33.483147,14,2019,13,REGION METROPOLITANA,PEÃ‘ALOLEN,URBANA,ANTUPIREN,NULL,9350,-33.483147,-70.534508,1,13122,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131220069,- ANTUPIREN,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,1,0,0,1
-70.703407,-33.472244,15,2019,13,REGION METROPOLITANA,ESTACION CENTRAL,URBANA,LAS REJAS SUR,QUENAC,NULL,-33.472244,-70.703407,1,13106,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131060390,LAS REJAS SUR - QUENAC,2,2,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,1,0,0,1
-70.534477,-33.47797,16,2019,13,REGION METROPOLITANA,PEÃ‘ALOLEN,URBANA,GRECIA,LAS PERDICES,NULL,-33.47797,-70.534477,1,13122,10,ATROPELLO,10,ATROPELLO,1,URBANA,14,CRUCE CON SEÑAL PARE,131220495,GRECIA - LAS PERDICES,2,2,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,1,0,0,1
-70.534431,-33.464573,17,2019,13,REGION METROPOLITANA,LA REINA,URBANA,JOSE ARRIETA,GERARDO REBOLLEDO CISTERNA,NULL,-33.464573,-70.534431,1,13113,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131130205,GERARDO REBOLLEDO CISTERNA - JOSE ARRIETA,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,1,0,0,1
-70.534187,-33.610603,18,2019,13,REGION METROPOLITANA,PUENTE ALTO,URBANA,LOS ESPINOS,NULL,212,-33.610603,-70.534187,1,13201,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,132011760,- LOS ESPINOS,1,1,2,BIDIRECCIONAL,1,CONCRETO,0,0,0,2,1
-70.703339,-33.464146,19,2019,13,REGION METROPOLITANA,ESTACION CENTRAL,URBANA,5 DE ABRIL,GUADAL,NULL,-33.464146,-70.703339,1,13106,10,ATROPELLO,10,ATROPELLO,1,URBANA,14,CRUCE CON SEÑAL PARE,131060011,5 DE ABRIL - GUADAL,2,2,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,0,1,1,1
-70.534088,-33.464836,20,2019,13,REGION METROPOLITANA,PEÃ‘ALOLEN,URBANA,JOSE ARRIETA,NULL,9195,-33.464836,-70.534088,1,13122,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131220527,- JOSE ARRIETA,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.703255,-33.474998,21,2019,13,REGION METROPOLITANA,ESTACION CENTRAL,URBANA,LUIS INFANTE CERDA,LAS REJAS NORTE,NULL,-33.474998,-70.703255,1,13106,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131060447,LAS REJAS NORTE - LUIS INFANTE CERDA,2,2,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,0,0,0,1,1
-70.534065,-33.453781,22,2019,13,REGION METROPOLITANA,LA REINA,URBANA,LOS CARACOLES,PSJE 6,NULL,-33.453781,-70.534065,1,13113,10,ATROPELLO,10,ATROPELLO,1,URBANA,16,CRUCE SIN SEÑALIZACION,131130267,LOS CARACOLES - PSJE 6,1,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.7032412,-33.4568633,23,2019,13,REGION METROPOLITANA,ESTACION CENTRAL,URBANA,LIBER BERNARDO O`HIGGINS,NULL,4860,-33.4568633,-70.7032412,1,13106,10,ATROPELLO,10,ATROPELLO,1,URBANA,26,OTROS NO CONSIDERADOS,131060407,- LIBER BERNARDO O`HIGGINS,4,4,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,1,0,0,0,1
