X,Y,FID,COD_REG,REGION,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,CUT,DIR_GEOCOD,LAT,LNG,ANO,Tipo_Accid,Zona,Fallecidos,Graves,Menos_Grav,Leves,Accidentes
-71.2334713003601,-33.6846806002293,1,13,REGION METROPOLITANA,MELIPILLA,ESPERANZA,LAS TORRES,0,13501,"Manuel Marín Fernández, Melipilla, Región Metropolitana, Chile",-33.6846806,-71.2334713,2020,ATROPELLO,URBANA,0,0,0,0,1
-71.2236354996784,-33.6830721996221,2,13,REGION METROPOLITANA,MELIPILLA,LAS TORRES,POLICARPO TORO,0,13501,"Las Torres & Policarpo Toro, Melipilla, Región Metropolitana, Chile",-33.6830722,-71.2236355,2020,ATROPELLO,URBANA,0,0,0,1,1
-71.2222193003802,-33.67953630006,3,13,REGION METROPOLITANA,MELIPILLA,VICUÑA MACKENNA,LAS TORRES,0,13501,"Las Torres & Vicuña Mackenna, Melipilla, Región Metropolitana, Chile",-33.6795363,-71.2222193,2020,ATROPELLO,URBANA,0,0,0,2,1
-71.2214980998573,-33.6890914996728,4,13,REGION METROPOLITANA,MELIPILLA,CORREA,SAN MIGUEL,0,13501,"San Miguel & Correa, Melipilla, Región Metropolitana, Chile",-33.6890915,-71.2214981,2020,ATROPELLO,URBANA,0,0,0,1,1
-71.2171664999339,-33.6799422998971,5,13,REGION METROPOLITANA,MELIPILLA,VICUÑA MACKENNA,JOSE MASSAUD,0,13501,"Vicuña Mackenna & José Massoud Sarquis, Melipilla, Región Metropolitana, Chile",-33.6799423,-71.2171665,2020,ATROPELLO,URBANA,0,0,0,1,1
-71.2157732998977,-33.7030466000204,6,13,REGION METROPOLITANA,MELIPILLA,ORTUZAR,CAMINO VIEJO,0,13501,"Camino Viejo & Ortúzar, Melipilla, Región Metropolitana, Chile",-33.7030466,-71.2157733,2020,ATROPELLO,URBANA,0,0,0,2,1
-71.2154446003879,-33.688364600146,7,13,REGION METROPOLITANA,MELIPILLA,LIBERTAD,ORTUZAR,0,13501,"Ortúzar & Libertad, Melipilla, Región Metropolitana, Chile",-33.6883646,-71.2154446,2020,ATROPELLO,URBANA,0,0,0,0,1
-71.1448055003734,-33.4087009000263,8,13,REGION METROPOLITANA,CURACAVI,AMBROSIO OHIGGINS,LOS AROMOS,0,13503,"Los Aromos & Ambrosio O'Higgins, Curacavi, Curacaví, Región Metropolitana, Chile",-33.4087009,-71.1448055,2020,ATROPELLO,URBANA,0,0,1,0,1
-71.1287459001031,-33.3982648000803,9,13,REGION METROPOLITANA,CURACAVI,PRESBITERO MORAGA,CARLOS BRULL,0,13503,"Presbítero Moraga & Carlos Brull, Curacavi, Curacaví, Región Metropolitana, Chile",-33.3982648,-71.1287459,2020,ATROPELLO,URBANA,0,0,1,0,1
-71.1287309003106,-33.4026134997131,10,13,REGION METROPOLITANA,CURACAVI,PRESBITERO MORAGA,AMBROSIO OHIGGINS,0,13503,"Presbítero Moraga & Ambrosio O'Higgins, Curacavi, Curacaví, Región Metropolitana, Chile",-33.4026135,-71.1287309,2020,ATROPELLO,URBANA,0,0,0,0,1
