X,Y,FID,COD_REG,REGION,CUT,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,LAT,LNG,VAL_COM,TIPO,Año,Idaccident,Fecha,Tipo_Accid,Tipo__CONA,Zona,Causa__CON,Causa,Fallecidos,Graves,Menos_Grav,Leves,Hora
-73.0030602,-36.8335752,1,8,REGION BIO BIO,8101,CONCEPCION,LOS TILOS, ,27,"Los Tilos 27, Concepción, Bío Bío, Chile",-36.8335752,-73.0030602,1,RANGE_INTERPOLATED,2020,1291168,2020/07/26 00:00:00+00,CHOQUE,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,22:30:00
-73.0913438,-36.7814659,2,8,REGION BIO BIO,8110,TALCAHUANO,LAS GOLONDRINAS, ,384,"Av. Las Golondrinas 384, Talcahuano, Bío Bío, Chile",-36.7814659,-73.0913438,1,RANGE_INTERPOLATED,2020,1291364,2020/07/13 00:00:00+00,COLISION LATERAL,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,VIRAJES INDEBIDOS,0,0,0,1,21:00:00
-73.0970842,-36.7944746,3,8,REGION BIO BIO,8112,HUALPEN,RECONQUISTA,CARTAGENA,0,"Cartagena & La Reconquista, Hualpén, Bío Bío, Chile",-36.7944746,-73.0970842,1,GEOMETRIC_CENTER,2020,1291661,2020/07/24 00:00:00+00,CHOQUE,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,14:30:00
-73.0487137,-36.823594,4,8,REGION BIO BIO,8101,CONCEPCION,CASTELLON, ,681,"Castellón 681, Concepción, Bío Bío, Chile",-36.823594,-73.0487137,1,RANGE_INTERPOLATED,2020,1291765,2020/07/29 00:00:00+00,COLISION LATERAL,COLISION,URBANA,PERDIDA CONTROL VEHICULO,PERDIDA CONTROL VEHICULO,0,0,0,1,09:25:00
-73.0531471,-36.8238989,5,8,REGION BIO BIO,8101,CONCEPCION,CAUPOLICAN,LOS CARRERA,0,"Avenida los Carrera & Caupolicán, Concepción, Bío Bío, Chile",-36.8238989,-73.0531471,1,GEOMETRIC_CENTER,2020,1291778,2020/07/30 00:00:00+00,ATROPELLO,ATROPELLO,URBANA,IMPRUDENCIA DEL CONDUCTOR,NO RESPETAR DERECHO PREFERENTE DE PASO A PEATON,0,1,0,0,16:00:00
-73.0879741,-36.7789842,6,8,REGION BIO BIO,8110,TALCAHUANO,LA MARINA, ,1250,"La Marina 1250, Talcahuano, Bío Bío, Chile",-36.7789842,-73.0879741,1,ROOFTOP,2020,1291792,2020/07/25 00:00:00+00,COLISION LATERAL,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,NO RESPETAR DERECHO PREFERENTE DE PASO A VEHICULO,0,0,0,0,21:10:00
-73.1151899,-36.7079206,7,8,REGION BIO BIO,8110,TALCAHUANO,SAN JUAN, ,143,"San Juan, Talcahuano, Bío Bío, Chile",-36.7079206,-73.1151899,1,GEOMETRIC_CENTER,2020,1291822,2020/07/20 00:00:00+00,CHOQUE POSTERIOR/LADO,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,13:30:00
-73.0773082,-36.8052495,8,8,REGION BIO BIO,8112,HUALPEN,JORGE ALESSANDRI RODRIGUEZ,CRISTOBAL COLON,0,"Av. Pdte. Jorge Alessandri Rodriguez, Hualpén, Bío Bío, Chile",-36.8052495,-73.0773082,1,GEOMETRIC_CENTER,2020,1321177,2020/12/23 00:00:00+00,COLISION,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,0,1,0,0,14:50:00
-72.7146242,-37.2806207,9,8,REGION BIO BIO,8304,LAJA,BALMACEDA, ,243,"Balmaceda 243, Laja, Bío Bío, Chile",-37.2806207,-72.7146242,1,ROOFTOP,2020,1292027,2020/07/06 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,16:40:00
-72.5614276,-37.1006425,10,8,REGION BIO BIO,8313,YUMBEL,OHIGGINS, ,610,"OHiggins 610, Yumbel, Bío Bío, Chile",-37.1006425,-72.5614276,1,RANGE_INTERPOLATED,2020,1291986,2020/07/20 00:00:00+00,CHOQUE POSTERIOR/LADO,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,12:10:00
