X,Y,FID,COD_REG,REGION,CUT,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,LAT,LNG,VAL_COM,TIPO,Año,Idaccident,Fecha,Tipo_Accid,Tipo__CONA,Zona,Causa__CON,Causa,Fallecidos,Graves,Menos_Grav,Leves,Hora
-72.7939844,-36.1322819,1,16,REGION ÑUBLE,16202,COBQUECURA,INDEPENDENCIA, ,450,"Independencia 450, Cobquecura, Bío Bío, Chile",-36.1322819,-72.7939844,1,RANGE_INTERPOLATED,2020,1317667,2020/12/08 00:00:00+00,CHOQUE,CHOQUE,URBANA,PERDIDA CONTROL VEHICULO,PERDIDA CONTROL VEHICULO,0,0,0,0,08:00:00
-72.0869885,-36.6163413,2,16,REGION ÑUBLE,16101,CHILLAN,OBRIEN,INGLATERRA,0,"Inglaterra & Obrien, Chillan, Chillán, Ñuble, Chile",-36.6163413,-72.0869885,1,GEOMETRIC_CENTER,2020,1317688,2020/12/12 00:00:00+00,COLISION LATERAL,COLISION,URBANA,ALCOHOL EN CONDUCTOR,CONDUCCION EN ESTADO DE EBRIEDAD,0,1,0,1,20:54:00
-72.0971647,-36.6102239,3,16,REGION ÑUBLE,16101,CHILLAN,ROBLE,INDEPENDENCIA,0,"El Roble & Independencia, Chillan, Chillán, Ñuble, Chile",-36.6102239,-72.0971647,1,GEOMETRIC_CENTER,2020,1317987,2020/12/11 00:00:00+00,COLISION PERPENDICULAR,COLISION,URBANA,CAUSAS NO DETERMINADAS,CAUSAS NO DETERMINADAS,0,0,0,0,17:00:00
-72.1077193,-36.619459,4,16,REGION ÑUBLE,16101,CHILLAN,CHANGARAL,LAS TORRES,0,"Las Torres, Chillan, Chillán, Ñuble, Chile",-36.619459,-72.1077193,1,GEOMETRIC_CENTER,2020,1318244,2020/12/14 00:00:00+00,COLISION PERPENDICULAR,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION CONTRA SENTIDO DEL TRANSITO,0,0,0,0,12:40:00
-72.0967186,-36.6090031,5,16,REGION ÑUBLE,16101,CHILLAN,INDEPENDENCIA,CONSTITUCION,0,"Constitución & Independencia, Chillan, Chillán, Ñuble, Chile",-36.6090031,-72.0967186,1,GEOMETRIC_CENTER,2020,1318249,2020/12/14 00:00:00+00,COLISION PERPENDICULAR,COLISION,URBANA,DESOBEDIENCIA A SEÑALIZACION,SEÑALIZACION DESOBEDECER SEÑAL PARE,0,0,0,0,10:30:00
-72.2342656,-36.6382488,6,16,REGION ÑUBLE,16103,CHILLAN VIEJO,SECTOR LOS COLIHUES, ,1,"Los Colihues, Chillán Viejo, Ñuble, Chile",-36.6382488,-72.2342656,1,APPROXIMATE,2020,1318417,2020/12/13 00:00:00+00,CHOQUE,CHOQUE,URBANA,ALCOHOL EN CONDUCTOR,CONDUCCION EN ESTADO DE EBRIEDAD,2,1,0,1,06:54:00
-72.1030848,-36.5993099,7,16,REGION ÑUBLE,16101,CHILLAN,ECUADOR,CARRERA,0,"Carrera & Avenida Ecuador, Chillan, Chillán, Ñuble, Chile",-36.5993099,-72.1030848,1,GEOMETRIC_CENTER,2020,1318447,2020/12/14 00:00:00+00,COLISION PERPENDICULAR,COLISION,URBANA,DESOBEDIENCIA A SEÑALIZACION,SEÑALIZACION DESOBEDECER LUZ ROJA DE SEMAFORO,0,0,0,1,18:30:00
-72.0902899,-36.6148102,8,16,REGION ÑUBLE,16101,CHILLAN,ESPAÑA,PASAJE OCHO,0,"Ocho Ote. & Av. España, Chillan, Chillán, Ñuble, Chile",-36.6148102,-72.0902899,1,GEOMETRIC_CENTER,2020,1318752,2020/12/16 00:00:00+00,COLISION POR ALCANCE,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,1,0,0,08:30:00
-71.9609284,-36.4262569,9,16,REGION ÑUBLE,16301,SAN CARLOS,CHACABUCO,MATTA,0,"Chacabuco & Manuel Antonio Matta Goyenechea, San Carlos, Ñuble, Chile",-36.4262569,-71.9609284,1,GEOMETRIC_CENTER,2020,1319021,2020/12/01 00:00:00+00,COLISION POR ALCANCE,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,19:00:00
-71.9560099,-36.4364022,10,16,REGION ÑUBLE,16301,SAN CARLOS,NORA PEREIRA,NAHUELTORO,0,"Nora Pereira Riseti, San Carlos, Ñuble, Chile",-36.4364022,-71.9560099,1,GEOMETRIC_CENTER,2020,1319026,2020/12/09 00:00:00+00,CHOQUE FRONTAL,CHOQUE,URBANA,PERDIDA CONTROL VEHICULO,PERDIDA CONTROL VEHICULO,0,0,0,0,23:50:00
-71.9557544,-36.424915,11,16,REGION ÑUBLE,16301,SAN CARLOS,BRASIL, ,682,"Brasil 682, San Carlos, Región del Bío Bío, Chile",-36.424915,-71.9557544,1,ROOFTOP,2020,1319029,2020/12/10 00:00:00+00,CHOQUE FRENTE/FRENTE,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,16:30:00
