X,Y,FID,COD_REG,REGION,CUT,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,LAT,LNG,VAL_COM,TIPO,Año,Idaccident,Fecha,Tipo_Accid,Tipo__CONA,Zona,Causa__CON,Causa,Fallecidos,Graves,Menos_Grav,Leves,Hora
-70.137193,-20.211648,1,1,REGION TARAPACA,1101,IQUIQUE,SOTOMAYOR, ,1740,"Sotomayor 1740, Iquique, Tarapacá, Chile",-20.211648,-70.137193,1,ROOFTOP,2020,1279594,2020/01/17 00:00:00+00,CHOQUE POSTERIOR/FRENTE,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,20:50:00
-70.124758,-20.277556,2,1,REGION TARAPACA,1101,IQUIQUE,MAR DEL NORTE, ,4734,"Mar del Nte. 4734, Iquique, Tarapacá, Chile",-20.277556,-70.124758,1,ROOFTOP,2020,1279695,2020/05/06 00:00:00+00,CHOQUE,CHOQUE,URBANA,PERDIDA CONTROL VEHICULO,PERDIDA CONTROL VEHICULO,0,0,0,0,20:30:00
-70.1371297,-20.2306665,3,1,REGION TARAPACA,1101,IQUIQUE,DIEGO PORTALES,COLO COLO,0,"Colo Colo & Avenida Diego Portales, Iquique, Tarapacá, Chile",-20.2306665,-70.1371297,1,GEOMETRIC_CENTER,2020,1279824,2020/01/18 00:00:00+00,COLISION POR ALCANCE,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,0,0,0,0,15:00:00
-70.1307042,-20.2297799,4,1,REGION TARAPACA,1101,IQUIQUE,BERNARDINO GUERRA,PROGRESO,0,"Bernardino Guerra & Progreso, Iquique, Tarapacá, Chile",-20.2297799,-70.1307042,1,GEOMETRIC_CENTER,2020,1279829,2020/01/18 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,22:15:00
-70.1354064,-20.2269962,5,1,REGION TARAPACA,1101,IQUIQUE,SALVADOR ALLENDE,JOSE MIGUEL CARRERA,0,"José Miguel Carrera & Avenida Salvador Allende Gossens, Iquique, Tarapacá, Chile",-20.2269962,-70.1354064,1,GEOMETRIC_CENTER,2020,1279838,2020/01/18 00:00:00+00,ATROPELLO,ATROPELLO,URBANA,IMPRUDENCIA DEL CONDUCTOR,NO RESPETAR DERECHO PREFERENTE DE PASO A PEATON,0,0,0,1,19:45:00
-70.1467191,-20.2195518,6,1,REGION TARAPACA,1101,IQUIQUE,BULNES,AMUNATEGUI,0,"Amunátegui & Manuel Bulnes, Iquique, Tarapacá, Chile",-20.2195518,-70.1467191,1,GEOMETRIC_CENTER,2020,1279886,2020/01/19 00:00:00+00,COLISION PERPENDICULAR,COLISION,URBANA,DESOBEDIENCIA A SEÑALIZACION,SEÑALIZACION DESOBEDECER SEÑAL CEDA EL PASO,0,0,0,0,20:00:00
-70.134527,-20.252536,7,1,REGION TARAPACA,1101,IQUIQUE,PLAYA EL AGUILA,LA TIRANA,0,"Playa El Águila 2223, Iquique, Tarapacá, Chile",-20.252536,-70.134527,1,ROOFTOP,2020,1280161,2020/03/09 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,08:30:00
-70.1474073,-20.2167759,8,1,REGION TARAPACA,1101,IQUIQUE,BARROS ARANA,LATORRE,0,"Almirante Latorre & Barros Arana, Iquique, Tarapacá, Chile",-20.2167759,-70.1474073,1,GEOMETRIC_CENTER,2020,1280165,2020/03/09 00:00:00+00,CHOQUE LADO/LADO,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,ADELANTAMIENTO SIN EL ESPACIO O TIEMPO SUFICIENTE,0,0,0,0,14:05:00
-70.1325224,-20.2333594,9,1,REGION TARAPACA,1101,IQUIQUE,GOMEZ CARREÑO, ,2393,"Gómez Carreño 2393, Iquique, Tarapacá, Chile",-20.2333594,-70.1325224,1,ROOFTOP,2020,1280177,2020/03/09 00:00:00+00,CHOQUE LADO/LADO,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,13:30:00
-70.1386507,-20.2305996,10,1,REGION TARAPACA,1101,IQUIQUE,DIEGO PORTALES,ARTURO PEREZ CANTO,0,"Arturo Pérez Canto & Avenida Diego Portales, Iquique, Tarapacá, Chile",-20.2305996,-70.1386507,1,GEOMETRIC_CENTER,2020,1280178,2020/03/09 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,04:15:00
