X,Y,FID,COD_REG,REGION,CUT,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,LAT,LNG,VAL_COM,TIPO,Año,Idaccident,Fecha,Tipo_Accid,Tipo__CONA,Zona,Causa__CON,Causa,Fallecidos,Graves,Menos_Grav,Leves,Hora
-70.7342315,-32.7476061,1,5,REGION VALPARAISO,5701,SAN FELIPE,DIEGO DE ALMAGRO, ,1306,"Diego de Almagro 1306, San Felipe, Valparaíso, Chile",-32.7476061,-70.7342315,1,RANGE_INTERPOLATED,2020,1279367,2020/05/04 00:00:00+00,ATROPELLO,ATROPELLO,URBANA,IMPRUDENCIA DEL PEATON,PEATON CRUZA CALZADA FUERA PASO PEATONES,1,0,0,0,19:40:00
-71.3581061,-33.0452953,2,5,REGION VALPARAISO,5804,VILLA ALEMANA,VICTORIA,CAUPOLICAN,0,"Plaza Las Américas (Victoria) - Caupolicán 600-698, Villa Alemana, Valparaíso, Chile",-33.0452953,-71.3581061,1,ROOFTOP,2020,1279385,2020/05/02 00:00:00+00,COLISION,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,1,0,0,20:25:00
-70.719437,-32.7503728,3,5,REGION VALPARAISO,5701,SAN FELIPE,BERNARDO CRUZ,YUNGAY,0,"Yungay & Bernardo Cruz, San Felipe, Valparaíso, Chile",-32.7503728,-70.719437,1,GEOMETRIC_CENTER,2020,1279381,2020/05/04 00:00:00+00,COLISION LATERAL,COLISION,URBANA,VELOCIDAD IMPRUDENTE,VELOCIDAD NO RAZONABLE NI PRUDENTE,0,0,0,1,13:40:00
-71.5342726,-33.0557927,4,5,REGION VALPARAISO,5109,VIÑA DEL MAR,ROGELIO ASTUDILLO, ,50,"Rogelio Astudillo 50, Viña del Mar, Valparaíso, Chile",-33.0557927,-71.5342726,1,RANGE_INTERPOLATED,2020,1279426,2020/05/01 00:00:00+00,ATROPELLO,ATROPELLO,URBANA,IMPRUDENCIA DEL PEATON,PEATON CRUZA CALZADA FUERA PASO PEATONES,0,1,0,0,19:00:00
-71.6335555,-33.0498821,5,5,REGION VALPARAISO,5101,VALPARAISO,JOSE JOAQUIN PEREZ, ,336,"José Joaquín Pérez 336, Valparaíso, Chile",-33.0498821,-71.6335555,1,ROOFTOP,2020,1279446,2020/05/06 00:00:00+00,COLISION POR ALCANCE,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,0,0,0,0,10:30:00
-71.5908097,-33.035244,6,5,REGION VALPARAISO,5101,VALPARAISO,PLACERES,FERNANDO LECEPS,0,"Los Placeres & Fernando Lesseps, Valparaíso, Chile",-33.035244,-71.5908097,1,GEOMETRIC_CENTER,2020,1279448,2020/05/04 00:00:00+00,COLISION POR ALCANCE,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,0,0,0,0,08:30:00
-71.4616204,-33.0441649,7,5,REGION VALPARAISO,5801,QUILPUE,LOS CARRERA,UNO,0,"771, - Av. Los Carrera 751, Quilpué, Valparaíso, Chile",-33.0441649,-71.4616204,1,ROOFTOP,2020,1279467,2020/04/29 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,0,0,0,0,16:10:00
-71.4052995,-33.0464274,8,5,REGION VALPARAISO,5801,QUILPUE,FREIRE,GOMEZ CARREÑO,0,"Almirante Gomez Carreño & Freire, Quilpué, Valparaíso, Chile",-33.0464274,-71.4052995,1,GEOMETRIC_CENTER,2020,1279468,2020/04/29 00:00:00+00,CHOQUE LATERAL,CHOQUE,URBANA,ALCOHOL EN CONDUCTOR,CONDUCCION EN ESTADO DE EBRIEDAD,0,0,0,0,03:55:00
-71.4787957,-33.0383897,9,5,REGION VALPARAISO,5801,QUILPUE,LOS CARRERA,LA PORTADA,0,"La Portada & Avenida Los Carrera, Quilpué, Valparaíso, Chile",-33.0383897,-71.4787957,1,GEOMETRIC_CENTER,2020,1279471,2020/05/01 00:00:00+00,COLISION LATERAL,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION CAMBIAR SORPRESIVAMENTE PISTA CIRCULACION,0,0,0,0,18:55:00
-71.4618156,-33.057567,10,5,REGION VALPARAISO,5801,QUILPUE,ATACAMA,ANITA LIZANA,0,"Atacama - Chañaral, Quilpué, Valparaíso, Chile",-33.057567,-71.4618156,1,GEOMETRIC_CENTER,2020,1279474,2020/05/02 00:00:00+00,CHOQUE FRONTAL,CHOQUE,URBANA,PERDIDA CONTROL VEHICULO,PERDIDA CONTROL VEHICULO,0,0,0,0,06:30:00
-71.4604833,-33.0446127,11,5,REGION VALPARAISO,5801,QUILPUE,LOS CARRERA,SEPTIMA,0,"Séptima & Avenida Los Carrera, Quilpué, Valparaíso, Chile",-33.0446127,-71.4604833,1,GEOMETRIC_CENTER,2020,1279529,2020/05/04 00:00:00+00,COLISION PERPENDICULAR,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,NO RESPETAR DERECHO PREFERENTE DE PASO A VEHICULO,0,0,1,1,02:25:00
-71.5024544,-33.0209114,12,5,REGION VALPARAISO,5109,VIÑA DEL MAR,CARLOS IBAÑEZ DEL CAMPO, ,47,"Carlos Ibáñez del Campo 47, Viña del Mar, Valparaíso, Chile",-33.0209114,-71.5024544,1,RANGE_INTERPOLATED,2020,1279550,2020/05/05 00:00:00+00,CHOQUE FRONTAL,CHOQUE,URBANA,CAUSAS NO DETERMINADAS,CAUSAS NO DETERMINADAS,0,0,0,0,22:10:00
-71.2438347,-32.8786166,13,5,REGION VALPARAISO,5501,QUILLOTA,BLANCO,CONCEPCION,0,"Blanco Encalada 101-169, Quillota, Valparaíso, Chile",-32.8786166,-71.2438347,1,ROOFTOP,2020,1279620,2020/04/25 00:00:00+00,CHOQUE,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,11:40:00
-71.5401948,-33.0331218,14,5,REGION VALPARAISO,5109,VIÑA DEL MAR,LAS HERAS, ,34,"Las Heras 34, Viña del Mar, Valparaíso, Chile",-33.0331218,-71.5401948,1,RANGE_INTERPOLATED,2020,1279678,2020/05/05 00:00:00+00,CHOQUE FRENTE/FRENTE,CHOQUE,URBANA,PERDIDA CONTROL VEHICULO,PERDIDA CONTROL VEHICULO,0,0,0,0,12:45:00
-70.5952095,-32.8281453,15,5,REGION VALPARAISO,5301,LOS ANDES,HERMANOS CLARK,ARGENTINA,0,"Hnos Clark 20, Los Andes, Valparaíso, Chile",-32.8281453,-70.5952095,1,ROOFTOP,2020,1279690,2020/05/06 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANA,VELOCIDAD IMPRUDENTE,VELOCIDAD NO RAZONABLE NI PRUDENTE,0,0,0,0,20:10:00
-70.6258069,-32.857493,16,5,REGION VALPARAISO,5302,CALLE LARGA,PASO BASAURE, ,0,"Calle Larga, Valparaíso, Chile",-32.857493,-70.6258069,1,APPROXIMATE,2020,1279722,2020/05/05 00:00:00+00,COLISION POR ALCANCE,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,0,0,0,1,19:40:00
